,Feature,dtype,Description
0,Start,object,Start time for NBA game in Eastern Standard Time.
1,Away,object,Visiting Team.
2,A-Pts-F,int64,Total points scored by visiting team.
3,Home,object,Home Team.
4,H-Pts-F,int64,Total points scored by home team.
5,OT?,object,"Indicates if the game went into overtime: if 0, no oevrtime period; if OT, one overtime period;, if 2OT, two overtime periods; etc..."
6,Attend.,object,Fan attendance reported by home team.
7,A-S-Min,float64,Minutes played by starters in 1st half for away team.
8,A-FG,float64,Field Goals made in 1st half by away team.
9,A-FGA,float64,Field Goals attempted in 1st half by away team.
10,A-3P,float64,3-Point Shots made in 1st half by away team.
11,A-3PA,float64,3-Point Shots attempted in 1st half by away team.
12,A-FT,float64,Free throws made in 1st half by away team.
13,A-FTA,float64,Free throws attempted in 1st half by away team.
14,A-ORB,float64,Offensive rebounds collected in 1st half by away team.
15,A-DRB,float64,Defensive rebounds collected in 1st half by away team.
16,A-TRB,float64,Total rebounds collected in 1st half by away team.
17,A-AST,float64,Assists recorded in 1st half by away team.
18,A-STL,float64,Steals recorded in 1st half by away team.
19,A-BLK,float64,Blocks recorded in 1st half by away team.
20,A-TOV,float64,Turnovers surrendered in 1st half by away team.
21,A-PF,float64,Personal fouls recorded in 1st half by away team.
22,A-PTS,float64,Points scored in 1st half by away team.
23,A-FG%,float64,Field goals made / field goals attempted in 1st half by away team.
24,A-3P%,float64,3-point shots made / 3-point shots attempted in 1st half by away team.
25,A-FT%,float64,Free throws made / Free throws attempted in 1st half by away team.
26,A-AST/FG,float64,Percentage of Field Goals assisted in 1st half by away team.
27,A-TOV/AST,float64,Turnover per assist in 1st half by away team.
28,H-S-Min,float64,Minutes played by starters in 1st half for home team.
29,H-FG,float64,Field Goals made in 1st half by home team.
30,H-FGA,float64,Field Goals attempted in 1st half by home team.
31,H-3P,float64,3-Point Shots made in 1st half by home team.
32,H-3PA,float64,3-Point Shots attempted in 1st half by home team.
33,H-FT,float64,Free throws made in 1st half by home team.
34,H-FTA,float64,Free throws attempted in 1st half by home team.
35,H-ORB,float64,Offensive rebounds collected in 1st half by home team.
36,H-DRB,float64,Defensive rebounds collected in 1st half by home team.
37,H-TRB,float64,Total rebounds collected in 1st half by home team.
38,H-AST,float64,Assists recorded in 1st half by home team.
39,H-STL,float64,Steals recorded in 1st half by home team.
40,H-BLK,float64,Blocks recorded in 1st half by home team.
41,H-TOV,float64,Turnovers surrendered in 1st half by home team.
42,H-PF,float64,Personal fouls recorded in 1st half by home team.
43,H-PTS,float64,Points scored in 1st half by home team.
44,H-FG%,float64,Field goals made / field goals attempted in 1st half by home team.
45,H-3P%,float64,3-point shots made / 3-point shots attempted in 1st half by home team.
46,H-FT%,float64,Free throws made / Free throws attempted in 1st half by home team.
47,H-AST/FG,float64,Percentage of Field Goals assisted in 1st half by home team.
