,date,link,home,away,away_ML,home_ML,away_open,home_open
0,20151027,/betting-odds/nba-basketball/2882462/odds/,Chicago,Cleveland,+105,-125,+1½,-1½
1,20151027,/betting-odds/nba-basketball/2882461/odds/,Atlanta,Detroit,+325,-400,+8,-8
2,20151027,/betting-odds/nba-basketball/2882463/odds/,Golden State,New Orleans,+170,-200,+8½,-8½
3,20151028,/betting-odds/nba-basketball/2882464/odds/,Orlando,Washington,-160,+140,-4,+4
4,20151028,/betting-odds/nba-basketball/2882466/odds/,Boston,Philadelphia,+185,-225,+11,-11
5,20151028,/betting-odds/nba-basketball/2882469/odds/,Toronto,Indiana,-,-,+5,-5
6,20151028,/betting-odds/nba-basketball/2882465/odds/,Brooklyn,Chicago,-160,+140,-4,+4
7,20151028,/betting-odds/nba-basketball/2882468/odds/,Miami,Charlotte,+100,-120,+7,-7
8,20151028,/betting-odds/nba-basketball/2882467/odds/,Detroit,Utah,-105,-115,+1½,-1½
9,20151028,/betting-odds/nba-basketball/2882471/odds/,Oklahoma City,San Antonio,+165,-190,+3½,-3½
10,20151028,/betting-odds/nba-basketball/2882470/odds/,Milwaukee,New York,+260,-320,+5,-5
11,20151028,/betting-odds/nba-basketball/2882472/odds/,Houston,Denver,+360,-450,+9½,-9½
12,20151028,/betting-odds/nba-basketball/2882473/odds/,Memphis,Cleveland,+335,-420,+4,-4
13,20151028,/betting-odds/nba-basketball/2882476/odds/,Portland,New Orleans,-240,+200,PK,PK
14,20151028,/betting-odds/nba-basketball/2882475/odds/,Phoenix,Dallas,+280,-340,+3½,-3½
15,20151028,/betting-odds/nba-basketball/2882474/odds/,Sacramento,L.A. Clippers,-120,+100,-5½,+5½
16,20151028,/betting-odds/nba-basketball/2882477/odds/,L.A. Lakers,Minnesota,-150,+130,+5,-5
17,20151029,/betting-odds/nba-basketball/2882478/odds/,Indiana,Memphis,-155,+135,-2,+2
18,20151029,/betting-odds/nba-basketball/2882479/odds/,New York,Atlanta,+135,-155,-3½,+3½
