,Start,Away,A-Pts-F,Home,H-Pts-F,Box,OT?,Attend.,Link
0,7:30p,Charlotte Hornets,106,Atlanta Hawks,82,Box Score,,"18,465",/boxscores/200010310ATL.html
1,7:30p,Cleveland Cavaliers,86,New Jersey Nets,82,Box Score,,"14,505",/boxscores/200010310NJN.html
2,7:30p,Washington Wizards,86,Orlando Magic,97,Box Score,,"13,349",/boxscores/200010310ORL.html
3,8:00p,Milwaukee Bucks,93,Dallas Mavericks,97,Box Score,,"16,600",/boxscores/200010310DAL.html
4,8:00p,Philadelphia 76ers,101,New York Knicks,72,Box Score,,"19,763",/boxscores/200010310NYK.html
5,8:00p,Detroit Pistons,104,Toronto Raptors,95,Box Score,,"19,800",/boxscores/200010310TOR.html
6,8:30p,Sacramento Kings,100,Chicago Bulls,81,Box Score,,"21,814",/boxscores/200010310CHI.html
7,8:30p,Minnesota Timberwolves,106,Houston Rockets,98,Box Score,,"11,327",/boxscores/200010310HOU.html
8,8:30p,Indiana Pacers,85,San Antonio Spurs,98,Box Score,,"17,450",/boxscores/200010310SAS.html
9,9:00p,Los Angeles Clippers,94,Utah Jazz,107,Box Score,,"17,824",/boxscores/200010310UTA.html
10,10:30p,Phoenix Suns,94,Golden State Warriors,96,Box Score,,"15,460",/boxscores/200010310GSW.html
11,10:30p,Los Angeles Lakers,96,Portland Trail Blazers,86,Box Score,,"20,270",/boxscores/200010310POR.html
12,10:30p,Seattle SuperSonics,88,Vancouver Grizzlies,94,Box Score,,"15,779",/boxscores/200010310VAN.html
13,7:00p,Detroit Pistons,83,Boston Celtics,103,Box Score,,"17,725",/boxscores/200011010BOS.html
14,7:00p,Toronto Raptors,98,Philadelphia 76ers,104,Box Score,,"19,817",/boxscores/200011010PHI.html
15,7:30p,Washington Wizards,95,Charlotte Hornets,77,Box Score,,"16,043",/boxscores/200011010CHH.html
16,7:30p,Sacramento Kings,100,Cleveland Cavaliers,102,Box Score,2OT,"17,695",/boxscores/200011010CLE.html
17,8:00p,Orlando Magic,79,Miami Heat,105,Box Score,,"16,500",/boxscores/200011010MIA.html
18,10:00p,Denver Nuggets,99,Seattle SuperSonics,112,Box Score,,"17,072",/boxscores/200011010SEA.html
19,10:30p,Utah Jazz,97,Los Angeles Lakers,92,Box Score,,"18,997",/boxscores/200011010LAL.html
20,7:30p,Atlanta Hawks,69,New York Knicks,94,Box Score,,"19,763",/boxscores/200011020NYK.html
21,8:00p,Indiana Pacers,88,Dallas Mavericks,94,Box Score,,"11,750",/boxscores/200011020DAL.html
22,8:00p,Minnesota Timberwolves,91,San Antonio Spurs,103,Box Score,,"14,193",/boxscores/200011020SAS.html
23,8:30p,Milwaukee Bucks,93,Houston Rockets,115,Box Score,,"10,687",/boxscores/200011020HOU.html
24,9:00p,Golden State Warriors,97,Denver Nuggets,101,Box Score,,"15,790",/boxscores/200011020DEN.html
25,9:00p,Portland Trail Blazers,82,Phoenix Suns,108,Box Score,,"18,436",/boxscores/200011020PHO.html
26,10:30p,Vancouver Grizzlies,99,Los Angeles Clippers,91,Box Score,,"15,546",/boxscores/200011020LAC.html
27,7:00p,New York Knicks,80,Washington Wizards,76,Box Score,,"20,674",/boxscores/200011030WAS.html
28,7:30p,Toronto Raptors,91,Boston Celtics,93,Box Score,,"17,464",/boxscores/200011030BOS.html
29,7:30p,Miami Heat,79,Charlotte Hornets,83,Box Score,,"14,016",/boxscores/200011030CHH.html
30,7:30p,Philadelphia 76ers,87,Orlando Magic,80,Box Score,,"14,233",/boxscores/200011030ORL.html
31,8:00p,Sacramento Kings,100,Detroit Pistons,93,Box Score,,"22,076",/boxscores/200011030DET.html
32,8:30p,New Jersey Nets,92,Chicago Bulls,82,Box Score,,"21,908",/boxscores/200011030CHI.html
33,3:30p,Los Angeles Lakers,98,Vancouver Grizzlies,89,Box Score,,"18,183",/boxscores/200011040VAN.html
34,7:00p,Chicago Bulls,81,Indiana Pacers,94,Box Score,,"18,345",/boxscores/200011040IND.html
35,7:00p,Washington Wizards,96,Toronto Raptors,103,Box Score,,"18,726",/boxscores/200011040TOR.html
36,7:30p,Orlando Magic,107,Atlanta Hawks,104,Box Score,,"13,833",/boxscores/200011040ATL.html
37,7:30p,Boston Celtics,89,Cleveland Cavaliers,91,Box Score,,"18,392",/boxscores/200011040CLE.html
38,7:30p,Philadelphia 76ers,84,Miami Heat,82,Box Score,,"16,029",/boxscores/200011040MIA.html
39,8:00p,Utah Jazz,112,Dallas Mavericks,106,Box Score,,"16,500",/boxscores/200011040DAL.html
40,8:00p,Sacramento Kings,91,Minnesota Timberwolves,99,Box Score,,"19,006",/boxscores/200011040MIN.html
41,8:00p,Charlotte Hornets,98,New Jersey Nets,87,Box Score,,"11,522",/boxscores/200011040NJN.html
42,8:30p,Detroit Pistons,88,Milwaukee Bucks,97,Box Score,,"18,717",/boxscores/200011040MIL.html
43,9:00p,Phoenix Suns,102,Denver Nuggets,99,Box Score,,"13,312",/boxscores/200011040DEN.html
44,10:00p,Portland Trail Blazers,97,Seattle SuperSonics,90,Box Score,,"17,072",/boxscores/200011040SEA.html
45,10:30p,San Antonio Spurs,117,Golden State Warriors,105,Box Score,,"16,121",/boxscores/200011040GSW.html
46,10:30p,Houston Rockets,74,Los Angeles Clippers,77,Box Score,,"10,797",/boxscores/200011040LAC.html
47,8:00p,Houston Rockets,99,Phoenix Suns,104,Box Score,,"16,735",/boxscores/200011050PHO.html
48,9:30p,Los Angeles Clippers,103,Los Angeles Lakers,108,Box Score,,"18,997",/boxscores/200011050LAL.html
49,7:30p,Seattle SuperSonics,99,Orlando Magic,110,Box Score,,"12,460",/boxscores/200011060ORL.html
50,9:00p,Dallas Mavericks,108,Denver Nuggets,96,Box Score,,"11,190",/boxscores/200011060DEN.html
51,9:00p,Minnesota Timberwolves,92,Utah Jazz,98,Box Score,,"19,911",/boxscores/200011060UTA.html
52,10:00p,Atlanta Hawks,87,Vancouver Grizzlies,97,Box Score,,"11,639",/boxscores/200011060VAN.html
53,10:30p,Portland Trail Blazers,75,Sacramento Kings,79,Box Score,,"17,317",/boxscores/200011060SAC.html
54,7:00p,Boston Celtics,75,Toronto Raptors,105,Box Score,,"17,379",/boxscores/200011070TOR.html
55,8:00p,New York Knicks,103,Milwaukee Bucks,89,Box Score,,"14,246",/boxscores/200011070MIL.html
56,8:30p,Washington Wizards,88,Chicago Bulls,83,Box Score,,"21,312",/boxscores/200011070CHI.html
